Column,Mean,Std Dev,Shapiro-Wilk p,Z-stat,P-value,Effect Size,Power (1-β),Mann-Whitney U p,95% CI Lower,95% CI Upper
original_row_index,24.5,14.57738,0.058092,11.884246,0.0,1.680686,1.0,,20.459431,28.540569
GBT001_activities,9.86,3.795862,0.03423,18.367559,0.0,2.597565,1.0,,8.80786,10.91214
GBT001_decisions,1.26,1.174734,2.6e-05,7.584309,0.0,1.072583,1.0,,0.934386,1.585614
GBT001_forks,0.0,0.0,1.0,0.0,1.0,0.0,0.0,,0.0,0.0
GBT001_swimlanes,2.7,1.619398,9.8e-05,11.789496,0.0,1.667287,1.0,,2.251134,3.148866
GBT001_detaches,0.0,0.0,1.0,0.0,1.0,0.0,0.0,,0.0,0.0
GBT001_options,0.2,0.494872,0.0,2.857738,0.004267,0.404145,0.815348,,0.062831,0.337169
GBT001_edges,0.16,0.421852,0.0,2.681914,0.00732,0.37928,0.764839,,0.043071,0.276929
GBT001_notes,0.0,0.0,1.0,0.0,1.0,0.0,0.0,,0.0,0.0
GBT001_partitions,0.28,0.671277,0.0,2.949453,0.003183,0.417116,0.838789,,0.093935,0.466065
GBT001_numberline,19.82,7.891328,0.188106,17.759819,0.0,2.511618,1.0,,17.632676,22.007324
GBT001_negative_score,0.0,0.0,1.0,0.0,1.0,0.0,0.0,,0.0,0.0
GBT001_raw_score,41.823,16.555026,0.216184,17.863654,0.0,2.526302,1.0,,37.234265,46.411735
GBT001_percentage_score,65.108,10.103643,0.003327,45.566047,0.0,6.444012,1.0,,62.307464,67.908536
GBT001_functional_complexity,17.31,7.45318,0.150228,16.422544,0.0,2.322498,1.0,,15.244122,19.375878
GBT001_organization_score,5.4,3.238795,9.8e-05,11.789496,0.0,1.667287,1.0,,4.502268,6.297732
GBT001_structural_integrity,10.0,0.0,1.0,0.0,1.0,0.0,0.0,,10.0,10.0
GBT001_decisions_activities_ratio,0.11538,0.101434,8.7e-05,8.043275,0.0,1.137491,1.0,,0.087265,0.143495
GBT001_lines_vs_average,0.42492,0.169231,0.189573,17.754667,0.0,2.510889,1.0,,0.378012,0.471828
GBT002_activities,9.58,3.546139,0.169258,19.1027,0.0,2.70153,1.0,,8.597078,10.562922
GBT002_decisions,1.28,1.143571,8.3e-05,7.914651,0.0,1.119301,1.0,,0.963024,1.596976
GBT002_forks,0.0,0.0,1.0,0.0,1.0,0.0,0.0,,0.0,0.0
GBT002_swimlanes,2.68,1.856483,4e-06,10.207719,0.0,1.44359,1.0,,2.165419,3.194581
GBT002_detaches,0.0,0.0,1.0,0.0,1.0,0.0,0.0,,0.0,0.0
GBT002_options,0.12,0.328261,0.0,2.584921,0.00974,0.365563,0.734003,,0.029012,0.210988
GBT002_edges,0.22,0.581694,0.0,2.674321,0.007488,0.378206,0.762498,,0.058766,0.381234
GBT002_notes,0.0,0.0,1.0,0.0,1.0,0.0,0.0,,0.0,0.0
GBT002_partitions,0.24,0.686904,0.0,2.470588,0.013489,0.349394,0.695198,,0.049603,0.430397
GBT002_numberline,19.46,7.661752,0.092066,17.959727,0.0,2.539889,1.0,,17.33631,21.58369
GBT002_negative_score,0.0,0.0,1.0,0.0,1.0,0.0,0.0,,0.0,0.0
GBT002_raw_score,40.937,15.992887,0.213907,18.099816,0.0,2.5597,1.0,,36.504079,45.369921
GBT002_percentage_score,64.83,9.503667,0.036201,48.235834,0.0,6.821577,1.0,,62.195766,67.464234
GBT002_functional_complexity,16.93,6.995633,0.176056,17.112559,0.0,2.420081,1.0,,14.990945,18.869055
GBT002_organization_score,5.36,3.712967,4e-06,10.207719,0.0,1.44359,1.0,,4.330837,6.389163
