Column,Metric,Mean,Std Dev,Shapiro-Wilk p,Z-stat,P-value,Effect Size,Power (1-β),Mann-Whitney U p,95% CI Lower,95% CI Upper,N_all,N_intra,N_inter,Prefix_Group
GBT001,Jaccard,0.61578,0.210025,1e-06,,,,,,0.595198,0.636363,400,400,0,GBT
GBT002,Jaccard,0.61355,0.213692,2e-06,,,,,,0.592609,0.634492,400,400,0,GBT
GBT003,Jaccard,0.613877,0.207719,1.6e-05,,,,,,0.593521,0.634233,400,400,0,GBT
GBT051,Jaccard,0.565326,0.198441,0.00058,,,,,,0.545879,0.584773,400,400,0,GBT
GBT052,Jaccard,0.553898,0.190549,0.002298,,,,,,0.535224,0.572571,400,400,0,GBT
GBT053,Jaccard,0.542891,0.18255,0.006308,,,,,,0.525002,0.560781,400,400,0,GBT
GBT091,Jaccard,0.502309,0.177357,2e-06,,,,,,0.484929,0.51969,400,400,0,GBT
GBT092,Jaccard,0.493962,0.160592,0.001117,,,,,,0.478224,0.5097,400,400,0,GBT
GBT093,Jaccard,0.509075,0.155283,0.045866,,,,,,0.493857,0.524293,400,400,0,GBT
GBT001,Levenshtein,0.753625,0.144496,0.0,,,,,,0.739465,0.767785,400,400,0,GBT
GBT002,Levenshtein,0.76006,0.137889,0.0,,,,,,0.746547,0.773572,400,400,0,GBT
GBT003,Levenshtein,0.752073,0.141662,3e-06,,,,,,0.73819,0.765955,400,400,0,GBT
GBT051,Levenshtein,0.724126,0.133772,0.000137,,,,,,0.711017,0.737236,400,400,0,GBT
GBT052,Levenshtein,0.71424,0.125041,0.018709,,,,,,0.701987,0.726494,400,400,0,GBT
GBT053,Levenshtein,0.714676,0.122976,0.022835,,,,,,0.702624,0.726727,400,400,0,GBT
GBT091,Levenshtein,0.690448,0.119946,4e-06,,,,,,0.678694,0.702202,400,400,0,GBT
GBT092,Levenshtein,0.67869,0.108379,0.797033,,,,,,0.668069,0.689311,400,400,0,GBT
GBT093,Levenshtein,0.683782,0.11426,0.002482,,,,,,0.672585,0.694979,400,400,0,GBT
GBT001,TFIDF,0.658036,0.187421,5e-06,,,,,,0.639669,0.676403,400,400,0,GBT
GBT002,TFIDF,0.667558,0.182428,8e-06,,,,,,0.64968,0.685436,400,400,0,GBT
GBT003,TFIDF,0.661588,0.17587,1.3e-05,,,,,,0.644353,0.678823,400,400,0,GBT
GBT051,TFIDF,0.626134,0.16339,8e-06,,,,,,0.610122,0.642145,400,400,0,GBT
GBT052,TFIDF,0.607088,0.153356,3e-06,,,,,,0.592059,0.622116,400,400,0,GBT
GBT053,TFIDF,0.608697,0.153093,0.181102,,,,,,0.593694,0.6237,400,400,0,GBT
GBT091,TFIDF,0.57167,0.155257,0.0,,,,,,0.556455,0.586885,400,400,0,GBT
GBT092,TFIDF,0.562582,0.135553,0.025914,,,,,,0.549298,0.575866,400,400,0,GBT
GBT093,TFIDF,0.571416,0.140532,0.009596,,,,,,0.557645,0.585188,400,400,0,GBT
