Metric,Mean,Std Dev,Shapiro-Wilk p,Z-stat,P-value,Effect Size,Power (1-β),Mann-Whitney U p,95% CI Lower,95% CI Upper
prompt_CLM001_similarity,0.526,0.0736,0.4637,2.4696,0.0171,0.3528,N/A,0.01,0.5056,0.5464
prompt_CLM001_quality,80.0,0.0,1.0,inf,0.0,0.0,N/A,0.0,,
prompt_CLM001_match_rate,42.0769,5.8865,0.4641,49.4419,0.0,7.0631,N/A,0.0,40.4453,43.7085
prompt_CLM001_bleu,0.0145,0.0198,0.0,-171.4791,0.0,-24.497,N/A,0.0,0.009,0.02
prompt_CLM001_rougeL,0.1243,0.0358,0.0,-73.3853,0.0,-10.4836,N/A,0.0,0.1143,0.1342
prompt_CLM051_similarity,0.5258,0.0589,0.146,3.0647,0.0035,0.4378,N/A,0.066,0.5095,0.5421
prompt_CLM051_quality,80.0,0.0,1.0,inf,0.0,0.0,N/A,0.0,,
prompt_CLM051_match_rate,42.062,4.7101,0.1465,61.768,0.0,8.824,N/A,0.0,40.7565,43.3676
prompt_CLM051_bleu,0.0148,0.022,0.0,-154.3707,0.0,-22.053,N/A,0.0,0.0087,0.0208
prompt_CLM051_rougeL,0.1201,0.0399,0.0,-66.6344,0.0,-9.5192,N/A,0.0,0.109,0.1312
prompt_CLM091_similarity,0.5321,0.077,0.8999,2.9135,0.0054,0.4162,N/A,0.0002,0.5107,0.5534
prompt_CLM091_quality,80.0,0.0,1.0,inf,0.0,0.0,N/A,0.0,,
prompt_CLM091_match_rate,42.5649,6.1639,0.8994,47.7709,0.0,6.8244,N/A,0.0,40.8563,44.2734
prompt_CLM091_bleu,0.012,0.0157,0.0,-217.401,0.0,-31.0573,N/A,0.0,0.0076,0.0163
prompt_CLM091_rougeL,0.1159,0.03,0.0002,-89.7162,0.0,-12.8166,N/A,0.0,0.1076,0.1242
prompt_CLM002_similarity,0.5203,0.0718,0.3354,1.9756,0.0538,0.2822,N/A,0.0273,0.5004,0.5402
prompt_CLM002_quality,80.0,0.0,1.0,inf,0.0,0.0,N/A,0.0,,
prompt_CLM002_match_rate,41.621,5.7439,0.3352,50.1137,0.0,7.1591,N/A,0.0,40.0289,43.2131
prompt_CLM002_bleu,0.0137,0.0198,0.0,-172.1882,0.0,-24.5983,N/A,0.0,0.0082,0.0192
prompt_CLM002_rougeL,0.1209,0.037,0.0,-71.7634,0.0,-10.2519,N/A,0.0,0.1106,0.1311
prompt_CLM052_similarity,0.5258,0.069,0.1273,2.619,0.0117,0.3741,N/A,0.2706,0.5067,0.545
prompt_CLM052_quality,80.0,0.0,1.0,inf,0.0,0.0,N/A,0.0,,
prompt_CLM052_match_rate,42.0662,5.5234,0.1271,52.6782,0.0,7.5255,N/A,0.0,40.5352,43.5972
prompt_CLM052_bleu,0.0161,0.0229,0.0,-148.0379,0.0,-21.1483,N/A,0.0,0.0098,0.0225
prompt_CLM052_rougeL,0.1248,0.0373,0.0001,-70.4082,0.0,-10.0583,N/A,0.0,0.1145,0.1351
prompt_CLM092_similarity,0.5276,0.0705,0.4307,2.745,0.0084,0.3921,N/A,0.0273,0.5081,0.5472
prompt_CLM092_quality,80.0,0.0,1.0,inf,0.0,0.0,N/A,0.0,,
prompt_CLM092_match_rate,42.2113,5.6387,0.4316,51.7809,0.0,7.3973,N/A,0.0,40.6483,43.7742
prompt_CLM092_bleu,0.0115,0.0094,0.0,-364.7096,0.0,-52.1014,N/A,0.0,0.0089,0.0141
prompt_CLM092_rougeL,0.1209,0.0299,0.0073,-88.6757,0.0,-12.668,N/A,0.0,0.1126,0.1292
prompt_CLM003_similarity,0.5222,0.0715,0.3768,2.1729,0.0346,0.3104,N/A,0.01,0.5024,0.542
prompt_CLM003_quality,80.0,0.0,1.0,inf,0.0,0.0,N/A,0.0,,
prompt_CLM003_match_rate,41.7751,5.7182,0.3765,50.5271,0.0,7.2182,N/A,0.0,40.1901,43.3601
prompt_CLM003_bleu,0.0129,0.0173,0.0,-196.9589,0.0,-28.137,N/A,0.0,0.0081,0.0177
prompt_CLM003_rougeL,0.1212,0.0344,0.0002,-77.0667,0.0,-11.0095,N/A,0.0,0.1116,0.1307
